     index      Pt.x      Pt.y
         0    207.83	    244.83
         1    265.41	    297.40
         2    289.36	    277.61
         3    304.78	    281.91
         4    449.90	    226.21
         5    222.41	    246.56
         6    154.57	    277.70
         7     68.28	    183.60
         8    291.18	    291.49
         9    211.92	    252.26
        10     46.19	    173.96
        11    195.38	    243.34
        12    472.12	    212.28
        13    209.55	    261.38
        14    193.63	    241.73
        15    152.84	    290.44
        16    179.57	    220.72
        17    314.75	    274.33
        18    291.54	    219.68
        19    357.45	    263.43
        20    166.54	    279.98
        21    279.36	    246.26
        22    216.26	    266.76
        23    395.93	    229.74
        24    195.01	    218.58
        25    160.21	    279.76
        26    159.39	    271.00
        27    186.99	    251.81
        28    306.26	    227.20
        29    212.39	    309.31
        30    372.15	    257.04
        31    262.28	    209.59
        32    290.36	    237.88
        33    188.62	    251.42
        34    150.28	    290.97
        35    213.09	    308.82
        36    463.10	    244.47
        37    284.32	    244.85
        38    460.31	    322.44
        39     87.74	    346.13
        40    480.43	    223.32
        41    268.08	    339.42
        42    300.60	    272.28
        43    310.68	    245.14
        44    170.51	    274.80
        45    282.51	    259.13
        46    174.82	    289.95
        47    133.73	    273.50
        48     61.67	    272.02
        49    426.12	    257.52
        50     49.14	    309.10
        51    186.65	    253.24
        52    310.22	    219.83
        53    310.49	    243.85
        54    204.03	    210.21
        55    273.32	    257.76
        56    304.83	    214.12
        57    276.19	    338.64
        58    273.02	    287.38
        59    268.26	    341.73
        60    420.79	    227.08
        61    278.37	    206.28
        62    155.52	    241.24
        63    476.16	    236.90
        64    391.91	    226.25
        65    423.13	    219.68
        66    432.92	    309.77
        67    145.19	    288.33
        68    441.08	    242.73
        69    171.18	    271.39
        70    284.60	    272.68
        71    233.25	    247.14
        72    460.34	    223.03
        73    105.27	    215.04
        74    290.39	    299.10
        75     54.97	    292.50
        76    439.05	    250.12
        77    473.18	    220.32
        78    273.97	    330.39
        79    238.60	    344.70
        80    257.10	    304.68
        81    240.72	    221.01
        82     58.71	    281.44
        83    186.31	    260.07
        84    262.94	    312.29
        85    459.47	    223.34
        86    264.29	    315.25
        87    267.94	    252.95
        88    148.93	    267.19
        89    257.31	    340.04
        90    251.48	    273.41
        91    362.18	    251.51
        92    278.60	    241.06
        93    214.22	    287.87
        94    364.14	    258.59
        95     30.16	    294.75
        96    254.05	    303.13
        97    243.96	    345.26
        98    430.41	    248.76
        99    384.39	    225.45
       100    249.48	    301.45
       101    105.95	    212.47
       102     54.96	    295.97
       103    342.42	    255.62
       104    289.89	    254.57
       105    440.46	    219.73
       106    299.61	    289.52
       107    460.17	    252.65
       108    285.03	    259.10
       109    172.56	    231.07
       110     66.42	    285.91
       111     87.87	    216.41
       112    276.82	    299.17
       113    160.70	    189.64
       114     54.04	    357.76
       115    285.59	    261.17
       116    455.94	    257.47
       117     87.90	    290.25
       118    255.13	    339.82
       119    429.17	    220.87
       120    266.02	    306.22
       121    201.88	    186.50
       122    481.86	    243.79
       123     45.26	    204.83
       124    446.74	    213.80
       125    318.56	    354.57
       126    157.94	    323.07
       127    109.08	    249.08
       128    276.48	    291.93
       129    107.35	    248.79
       130     30.21	    294.09
       131    459.46	    348.96
       132    476.21	    267.02
       133     86.13	    251.26
       134    362.12	    252.56
       135    427.61	    248.10
       136    362.24	    276.30
       137    168.44	    164.16
       138    406.99	    270.59
       139    260.12	    267.50
       140     46.34	    204.71
       141    214.74	    286.66
       142    265.56	    331.21
       143     44.07	    156.58
       144    470.26	    205.75
       145    209.75	    233.15
       146    292.97	    256.97
       147    250.21	    252.47
       148    191.58	    225.14
       149    221.85	    351.29
       150    255.47	    224.05
       151    250.04	    251.57
       152    189.40	    224.92
       153    420.76	    235.96
       154    100.08	    261.46
       155    247.13	    208.31
       156    299.49	    263.57
       157     89.02	    253.02
       158    256.69	    263.88
       159    297.58	    308.24
       160    258.56	    271.32
       161     99.88	    289.11
       162    416.02	    321.70
       163    440.67	    179.23
       164    202.22	    296.74
       165    408.32	    311.03
       166    413.98	    321.97
       167    476.49	    266.71
       168    227.53	    286.16
       169     73.28	    191.54
       170     98.49	    214.05
       171     50.09	    262.76
       172    467.77	    228.85
       173    277.98	    302.70
       174    334.02	    232.81
       175    161.21	    285.30
       176    188.90	    188.68
       177    257.67	    224.03
       178    361.22	    269.51
       179     44.56	    154.00
       180     23.68	    264.12
       181    245.85	    302.50
       182    205.99	    225.25
       183    347.07	    263.32
       184     35.01	    254.88
       185    351.03	    211.12
       186    231.69	    287.53
       187    368.75	    314.04
       188     76.06	    292.33
       189    282.34	    234.50
       190    280.26	    306.14
       191    235.80	    291.17
       192    198.85	    237.80
       193    289.87	    160.28
       194    447.15	    241.85
       195     39.96	    141.01
       196    332.11	    252.92
       197    204.27	    282.52
       198    452.34	    217.44
       199     72.57	    171.65
       200    251.11	    198.36
       201     96.84	    298.89
       202    244.48	    209.13
       203    319.33	    156.73
       204    189.64	    209.96
       205    407.33	    266.17
       206    331.70	    221.48
       207    212.91	    278.01
       208    254.05	    337.37
       209    384.05	    241.73
       210    229.61	    192.60
       211    404.30	    249.32
       212    259.38	    198.72
       213     99.21	    292.16
       214    231.35	    161.63
       215    277.70	    319.71
       216    290.90	    246.99
       217    187.41	    188.56
       218     94.16	    313.21
       219     21.70	    260.67
       220    217.18	    208.48
       221     53.38	    253.89
       222    227.85	    342.75
       223    107.75	    328.32
       224    190.11	    164.19
       225    207.96	    333.82
       226    116.00	    272.32
       227    208.98	    226.53
       228    190.67	    188.95
       229    147.62	    285.29
       230    320.90	    322.78
       231    408.97	    226.24
       232     90.11	    354.13
       233    320.22	    277.89
       234     71.86	    193.04
       235    133.81	    204.68
       236    303.88	    312.79
       237    301.79	    234.25
       238    248.11	    204.90
       239    439.65	    354.23
       240    167.91	    285.65
       241    354.96	    353.79
       242    282.97	    284.70
       243     69.35	    263.54
       244    309.17	    267.31
       245    260.85	    233.26
       246    243.76	    205.34
       247    254.82	    214.26
       248    272.05	    352.20
       249     31.45	    275.43
       250    218.68	    306.12
       251     20.62	    193.76
       252    327.63	    282.41
       253    453.17	    207.32
       254    233.12	    223.94
       255    406.42	    257.55
       256    212.37	    279.72
       257     32.53	    276.28
       258    152.27	    188.84
       259    398.75	    251.23
       260    385.61	    249.24
       261    208.80	    179.90
       262    454.63	    207.93
       263     95.73	    173.27
       264    416.98	    244.42
       265    256.40	    353.71
       266    233.61	    307.35
       267    312.93	    234.05
       268    148.69	    187.88
       269    165.19	    212.31
       270     39.82	    297.87
       271    167.80	    191.81
       272     89.62	    167.82
       273     30.81	    305.67
       274    428.08	    209.02
       275    151.41	    314.19
       276    134.74	    154.51
       277    129.74	    240.29
       278    306.12	    305.69
       279    364.74	    282.79
       280    236.21	    156.28
       281    141.85	    180.73
       282    431.35	    149.43
       283     92.23	    315.96
       284     44.31	    140.37
       285    253.17	    268.04
       286    115.66	    216.80
       287    445.40	    362.01
       288    309.04	    354.18
       289    367.01	    315.16
       290     95.39	    341.90
       291     33.54	    173.23
       292    175.59	    252.20
       293     31.15	    284.76
       294    444.81	    274.01
       295    407.96	    201.40
       296    350.47	    221.78
       297    467.28	    336.03
       298    103.85	    241.36
       299    425.06	    303.23
       300    163.20	    259.99
       301    327.46	    264.09
       302    121.53	    202.16
       303    397.80	    258.71
       304    113.18	    169.74
       305    210.28	    197.87
       306    171.38	    252.41
       307    480.72	    353.21
       308    419.57	    354.59
       309    374.21	    228.07
       310    478.93	    352.38
       311    351.01	    362.76
       312    420.27	    262.25
       313     85.96	    282.28
       314     37.86	    193.45
       315    398.34	    242.87
       316     26.50	    316.91
       317    474.92	    345.54
       318    214.98	    161.27
       319     76.09	    267.49
       320    126.96	    208.91
       321    418.57	    338.13
       322     86.10	    280.27
       323     32.84	    201.47
       324    220.92	    281.91
       325    284.81	    266.20
       326    426.75	    294.69
       327    219.62	    215.25
       328    281.05	    158.52
