     index      Pt.x      Pt.y
         0    382.43	    190.30
         1    468.24	    287.87
         2    189.85	    293.38
         3    172.23	    285.61
         4    173.54	    287.23
         5    178.89	    294.84
         6    313.66	    327.83
         7    361.08	    180.61
         8    248.96	    266.38
         9    277.66	    153.00
        10    300.50	    336.21
        11    101.83	    295.20
        12    473.46	    281.12
        13    103.90	    277.39
        14    466.69	    300.74
        15    239.15	    179.87
        16    309.30	    351.30
        17    208.20	    349.38
        18    474.33	    290.50
        19    446.65	    282.30
        20    132.60	    301.63
        21    287.90	    146.57
        22    296.64	    150.66
        23    464.02	    301.56
        24    284.68	    336.75
        25    374.63	    278.23
        26    146.17	    292.11
        27     94.56	    292.57
        28    399.04	    353.15
        29    471.09	    215.34
        30    485.14	    279.23
        31    155.09	    296.50
        32    182.90	    204.48
        33    262.87	    198.23
        34    215.80	    188.98
        35    239.31	    282.72
        36    361.78	    313.89
        37    263.85	    197.15
        38     74.59	    246.75
        39    458.72	    298.09
        40    224.70	    253.16
        41    294.51	    157.31
        42    140.69	    297.70
        43    227.12	    204.70
        44    118.12	    299.38
        45    125.87	    290.82
        46    234.58	    256.22
        47    255.12	    276.78
        48    241.07	    204.84
        49    251.40	    355.47
        50    121.89	    243.93
        51    256.79	    264.15
        52    186.58	    197.11
        53    125.80	    292.52
        54    367.68	    297.90
        55    213.21	    189.62
        56    343.45	    298.61
        57    267.12	    153.14
        58    418.43	    222.52
        59    193.00	    281.59
        60    462.38	    276.60
        61     86.96	    250.02
        62    224.89	    203.47
        63    379.08	    291.70
        64     84.32	    250.38
        65     17.28	    310.55
        66    200.01	    298.75
        67    308.13	    149.97
        68    252.81	    343.11
        69    302.41	    318.65
        70    256.58	    256.73
        71     39.31	    314.08
        72     64.18	    320.39
        73    307.07	    136.36
        74     31.31	    308.06
        75    343.74	    295.64
        76    367.45	    301.22
        77     97.21	    240.89
        78    456.86	    292.49
        79    475.96	    197.84
        80    214.54	    280.83
        81    310.43	    311.27
        82    155.96	    197.54
        83    400.13	    297.15
        84    120.63	    245.64
