  distance  queryIdx  trainIdx    imgIdx
      0.14       288       259         0
      0.28       289       419         0
      0.17       290       354         0
      0.32       291       625         0
      0.31       292       829         0
      0.21       293       324         0
      0.07       294       325         0
      0.03       295       329         0
      0.28       296       107         0
      0.30       297       931         0
      0.32       298       364         0
      0.29       299       542         0
      0.08       300       298         0
      0.32       301       910         0
      0.39       302       437         0
      0.35       303       550         0
      0.07       304       291         0
      0.31       305       276         0
      0.36       306        52         0
      0.31       307       550         0
      0.15       308       323         0
      0.31       309       918         0
      0.27       310       924         0
      0.22       311       450         0
      0.24       312       458         0
      0.35       313        89         0
      0.35       314       477         0
      0.30       315       262         0
      0.35       316        62         0
      0.31       317         7         0
      0.03       318       377         0
      0.31       319       323         0
      0.10       320       333         0
      0.29       321       769         0
      0.29       322       891         0
      0.22       323       451         0
      0.27       324       727         0
      0.27       325       618         0
      0.30       326        73         0
      0.37       327       628         0
      0.23       328       290         0
      0.09       329       390         0
      0.33       330       550         0
      0.22       331       352         0
      0.30       332       603         0
      0.29       333       532         0
      0.32       334       719         0
      0.25       335       703         0
      0.06       336       308         0
      0.32       337       401         0
      0.32       338       764         0
      0.04       339       295         0
      0.23       340       131         0
      0.06       341       388         0
      0.25       342       686         0
      0.06       343       369         0
      0.11       344       378         0
      0.08       345       322         0
      0.34       346        27         0
      0.33       347       125         0
      0.40       348       754         0
      0.31       349       647         0
      0.19       350       372         0
      0.35       351       863         0
      0.19       352       364         0
      0.32       353       416         0
      0.26       354       746         0
      0.28       355       390         0
      0.06       356       280         0
      0.33       357        65         0
      0.31       358       530         0
      0.35       359       377         0
      0.27       360       379         0
      0.27       361       664         0
      0.31       362       434         0
      0.29       363       569         0
      0.04       364       381         0
      0.28       365       798         0
      0.31       366       741         0
      0.21       367        70         0
      0.25       368       262         0
      0.29       369       687         0
      0.27       370       730         0
      0.42       371       609         0
      0.36       372       109         0
      0.37       373       764         0
      0.32       374       738         0
      0.32       375       105         0
      0.32       376       464         0
      0.16       377       360         0
      0.25       378       898         0
      0.23       379       408         0
      0.30       380       931         0
      0.36       381       505         0
      0.34       382        60         0
      0.29       383       793         0
      0.38       384       473         0
      0.36       385       240         0
      0.36       386        29         0
      0.10       387       391         0
      0.31       388       691         0
      0.13       389       456         0
      0.29       390       133         0
      0.34       391       466         0
      0.11       392       423         0
      0.02       393       405         0
      0.28       394       298         0
      0.36       395       731         0
      0.29       396       198         0
      0.14       397       393         0
      0.25       398       262         0
      0.13       399       399         0
      0.29       400       807         0
      0.27       401       632         0
      0.26       402       529         0
      0.29       403       517         0
      0.31       404       870         0
      0.33       405        47         0
      0.31       406       203         0
      0.41       407       382         0
      0.31       408       108         0
      0.28       409       819         0
      0.32       410       623         0
      0.28       411       629         0
      0.29       412       733         0
      0.28       413       255         0
      0.08       414       433         0
      0.05       415       428         0
      0.31       416       388         0
      0.08       417       384         0
      0.11       418       317         0
      0.20       419       301         0
