  distance  queryIdx  trainIdx    imgIdx
      0.22       288       370         0
      0.28       289       257         0
      0.30       290       493         0
      0.10       291       290         0
      0.32       292       971         0
      0.13       293       277         0
      0.34       294       493         0
      0.21       295       153         0
      0.24       296       389         0
      0.29       297       543         0
      0.16       298       221         0
      0.29       299       356         0
      0.06       300       249         0
      0.30       301       198         0
      0.08       302       265         0
      0.28       303       498         0
      0.19       304       285         0
      0.31       305        15         0
      0.37       306       632         0
      0.21       307       205         0
      0.27       308       326         0
      0.31       309       302         0
      0.32       310       648         0
      0.33       311       603         0
      0.32       312       261         0
      0.19       313       252         0
      0.09       314       340         0
      0.29       315       654         0
      0.16       316       317         0
      0.28       317       427         0
      0.17       318       635         0
      0.07       319       268         0
      0.06       320       294         0
      0.36       321       872         0
      0.08       322       252         0
      0.21       323       191         0
      0.33       324       577         0
      0.31       325       244         0
      0.34       326       412         0
      0.35       327       120         0
      0.30       328       434         0
      0.26       329        29         0
      0.08       330       297         0
      0.32       331       271         0
      0.06       332       451         0
      0.27       333       366         0
      0.24       334       153         0
      0.10       335       438         0
      0.25       336       429         0
      0.20       337       799         0
      0.09       338       337         0
      0.30       339       370         0
      0.37       340       662         0
      0.26       341       335         0
      0.26       342       889         0
      0.30       343       143         0
      0.35       344       231         0
      0.30       345       943         0
      0.06       346       333         0
      0.33       347        66         0
      0.03       348       323         0
      0.15       349       385         0
      0.05       350       383         0
      0.30       351       740         0
      0.10       352       370         0
      0.27       353       221         0
      0.29       354       460         0
      0.31       355       903         0
      0.35       356       958         0
      0.35       357        42         0
      0.32       358       731         0
      0.43       359        22         0
      0.08       360       408         0
      0.06       361       393         0
      0.24       362       769         0
      0.36       363        23         0
      0.29       364       729         0
      0.28       365       478         0
      0.27       366       303         0
      0.23       367         7         0
      0.07       368       314         0
      0.34       369       257         0
      0.25       370       327         0
      0.41       371       427         0
      0.31       372       492         0
      0.22       373       392         0
      0.27       374        98         0
      0.12       375       310         0
      0.21       376       423         0
      0.07       377       346         0
      0.23       378       713         0
      0.18       379       304         0
      0.32       380       661         0
      0.32       381       889         0
      0.07       382       360         0
      0.28       383       674         0
      0.24       384       153         0
      0.33       385       969         0
      0.34       386        23         0
      0.18       387       153         0
      0.32       388       351         0
      0.05       389       402         0
      0.34       390       122         0
      0.43       391       239         0
      0.23       392       153         0
      0.10       393       436         0
      0.05       394       484         0
      0.29       395       171         0
      0.08       396       389         0
      0.32       397       118         0
      0.37       398       374         0
      0.03       399       400         0
      0.12       400       382         0
      0.22       401       621         0
      0.24       402       975         0
      0.14       403       405         0
      0.37       404       649         0
      0.28       405       883         0
      0.26       406       482         0
      0.26       407       961         0
      0.36       408       349         0
      0.20       409       930         0
      0.33       410       107         0
      0.20       411       430         0
      0.34       412       127         0
      0.07       413       441         0
      0.33       414       231         0
      0.30       415       169         0
      0.12       416       394         0
      0.23       417       740         0
      0.15       418       386         0
      0.11       419       400         0
      0.36       420       403         0
      0.29       421       728         0
      0.38       422       126         0
      0.37       423        51         0
      0.33       424       881         0
      0.22       425       968         0
      0.35       426       490         0
      0.19       427       153         0
      0.08       428       392         0
      0.33       429       810         0
      0.29       430       325         0
      0.11       431       550         0
      0.25       432        72         0
      0.20       433       423         0
      0.22       434       936         0
      0.22       435       968         0
      0.27       436       448         0
      0.21       437       528         0
      0.27       438        20         0
      0.27       439       114         0
      0.07       440       444         0
      0.32       441       753         0
      0.28       442      1000         0
      0.19       443       489         0
      0.36       444       285         0
      0.05       445       514         0
      0.24       446       357         0
      0.23       447       392         0
      0.30       448       881         0
      0.28       449       153         0
      0.33       450       905         0
      0.28       451       203         0
      0.32       452       190         0
      0.31       453       446         0
      0.20       454       501         0
      0.33       455       425         0
      0.04       456       519         0
      0.27       457       306         0
      0.08       458       433         0
      0.31       459       648         0
      0.31       460       289         0
      0.04       461       564         0
      0.30       462       392         0
      0.34       463       971         0
      0.06       464       463         0
      0.05       465       472         0
      0.37       466       587         0
      0.16       467       336         0
      0.32       468         1         0
      0.08       469       639         0
      0.36       470       842         0
      0.23       471       414         0
      0.36       472       610         0
      0.11       473       506         0
      0.27       474       511         0
      0.27       475       429         0
      0.06       476       470         0
      0.34       477       452         0
      0.27       478       154         0
      0.33       479       257         0
      0.31       480       214         0
      0.33       481       658         0
      0.32       482        87         0
      0.25       483       429         0
      0.30       484       433         0
      0.36       485       531         0
      0.28       486        73         0
      0.09       487       479         0
      0.23       488       392         0
      0.21       489       528         0
      0.34       490       129         0
      0.05       491       528         0
      0.33       492       317         0
      0.04       493       496         0
      0.35       494       176         0
      0.03       495       498         0
      0.05       496       537         0
      0.17       497       978         0
      0.28       498       433         0
      0.35       499       522         0
      0.28       500       440         0
      0.10       501       440         0
      0.28       502       182         0
      0.30       503       203         0
      0.07       504       603         0
      0.12       505       503         0
      0.32       506       518         0
      0.23       507       125         0
      0.09       508       518         0
      0.31       509       691         0
      0.07       510       605         0
      0.30       511       943         0
      0.29       512       539         0
