     index      Pt.x      Pt.y
         0    382.59	    190.32
         1    468.24	    288.22
         2    313.66	    327.83
         3    172.30	    285.66
         4    173.51	    287.19
         5    189.80	    293.49
         6    178.90	    294.92
         7    361.08	    180.64
         8    248.95	    266.44
         9    300.46	    336.25
        10    466.70	    300.75
        11    101.94	    295.71
        12    309.32	    351.30
        13    473.48	    281.18
        14    277.61	    153.03
        15    103.79	    277.47
        16    446.70	    282.25
        17    208.20	    349.38
        18    283.98	    336.64
        19    239.16	    179.85
        20    474.39	    290.66
        21    284.56	    336.76
        22    464.02	    301.52
        23    374.83	    278.40
        24    399.09	    353.17
        25    132.54	    301.78
        26    361.80	    313.90
        27    296.65	    150.64
        28    372.06	    286.75
        29    182.89	    204.56
        30    458.79	    298.09
        31     94.51	    292.58
        32    367.66	    297.80
        33    215.64	    189.69
        34    155.05	    296.58
        35    462.49	    276.79
        36    146.15	    292.13
        37    255.15	    276.82
        38    485.21	    279.32
        39    234.52	    256.32
        40    121.86	    243.92
        41    263.76	    197.16
        42    251.40	    355.47
        43    379.15	    291.80
        44    343.46	    298.76
        45     74.46	    246.82
        46    140.53	    298.21
        47    256.81	    264.11
        48     87.02	    249.85
        49    287.84	    146.51
        50    263.29	    198.00
        51    252.78	    343.15
        52    118.17	    299.67
        53    302.53	    318.53
        54    266.99	    153.19
        55    239.26	    282.72
        56    476.06	    197.84
        57     84.35	    250.46
        58     17.26	    310.56
        59    240.84	    204.89
        60    400.10	    297.13
        61    367.43	    301.16
        62    343.90	    294.51
        63    456.95	    292.54
        64    224.71	    253.23
        65    120.50	    245.64
        66     64.13	    320.41
        67     39.31	    314.11
        68    399.19	    258.33
        69    294.49	    157.27
        70    310.40	    311.23
        71    199.98	    298.75
        72     60.99	    314.12
        73    125.77	    292.92
        74    227.12	    204.77
        75     31.26	    308.11
        76    420.31	    256.74
        77    224.78	    203.31
        78    125.82	    291.24
        79    168.58	    209.23
        80    186.52	    197.11
        81    401.63	    260.42
        82    256.56	    256.96
        83    301.14	    326.89
        84    421.61	    256.87
        85    307.24	    136.40
        86    285.81	    326.41
        87     22.75	    254.78
        88    357.87	    164.00
        89    172.23	    339.09
        90     51.17	    308.47
        91     43.63	    305.10
        92    484.79	    171.85
        93     53.31	    308.58
        94     32.38	    294.72
        95     75.90	    196.86
        96    264.84	    263.01
        97    193.88	    281.96
        98     18.49	    270.85
        99    412.86	    269.92
       100     97.14	    240.74
       101    313.60	    337.29
       102    475.23	    296.19
       103     15.90	    238.40
       104     76.55	    198.83
       105    319.82	    314.22
       106    200.05	    296.34
       107    207.76	    189.87
       108    205.26	    190.03
       109    221.54	    295.24
       110    133.92	    264.84
       111     21.20	    273.96
       112    323.27	    314.65
       113     59.11	    325.53
       114    388.31	    299.02
       115     30.68	    360.03
       116    240.90	    202.19
       117    259.35	    195.65
       118    476.50	    297.32
       119    257.62	    147.24
       120     81.28	    300.00
       121    215.13	    204.20
       122    127.36	    313.08
       123     87.79	    298.99
       124    471.40	    334.35
       125     22.00	    270.56
       126    308.09	    150.03
       127    175.24	    340.55
       128     83.10	    261.00
       129    289.45	    279.04
       130     15.30	    214.65
       131    473.14	    196.21
       132    363.19	    268.13
       133    428.65	    280.27
       134    348.96	    259.96
       135    256.67	    147.13
       136     70.74	    358.72
       137     79.91	    274.50
       138     45.51	    287.19
       139    176.48	    198.87
       140    277.85	    261.97
       141    137.92	    318.35
       142     13.56	    249.39
       143    320.69	    138.43
       144    239.34	    144.70
       145    155.19	    197.58
       146    345.18	    280.07
       147    335.87	    265.52
       148    335.80	    264.19
       149    449.73	    162.35
       150    146.55	    216.17
       151    358.93	    163.26
       152    352.51	    302.50
       153    367.05	    259.82
       154    317.20	    143.95
       155     83.87	    223.07
       156    382.21	    269.89
       157     85.37	    275.83
       158    214.63	    279.27
       159    310.28	    258.45
       160    212.84	    217.81
       161    219.00	    280.34
       162    409.01	    306.05
       163    112.97	    179.06
       164    422.15	    266.71
       165    411.88	    296.73
       166     65.18	    253.06
       167    221.78	    168.68
       168     88.91	    358.12
       169     52.39	    291.15
       170    478.54	    288.30
       171     57.07	    356.05
       172    254.13	    193.72
       173    256.03	    157.05
       174     41.74	    254.17
       175     51.73	    185.40
       176    261.79	    270.38
       177    483.54	    200.26
       178    439.38	    157.26
       179    401.01	    223.96
       180    411.84	    300.47
       181     25.34	    302.82
       182    466.62	    197.02
       183     23.63	    244.18
       184    214.41	    148.80
       185    249.15	    139.75
       186    205.77	    338.67
       187     85.99	    242.88
       188    456.79	    188.46
       189    251.32	    147.56
       190    224.56	    132.80
       191    482.68	    296.57
       192    184.26	    254.18
