  distance  queryIdx  trainIdx    imgIdx
      0.24       280       398         0
      0.23       281      2370         0
      0.33       282       368         0
      0.06       283       421         0
      0.29       284       966         0
      0.29       285       462         0
      0.28       286       378         0
      0.14       287       426         0
      0.24       288       153         0
      0.29       289       836         0
      0.28       290       127         0
      0.09       291       362         0
      0.09       292       348         0
      0.27       293       457         0
      0.34       294       109         0
      0.32       295      1103         0
      0.31       296      3342         0
      0.26       297      2751         0
      0.20       298      1237         0
      0.10       299       384         0
      0.27       300       736         0
      0.25       301      2126         0
      0.29       302      2949         0
      0.33       303      1346         0
      0.12       304       390         0
      0.25       305       101         0
      0.12       306       406         0
      0.26       307       487         0
      0.31       308      2589         0
      0.34       309      1623         0
      0.26       310      3053         0
      0.34       311      3539         0
      0.26       312      1388         0
      0.27       313       473         0
      0.25       314      1399         0
      0.22       315       331         0
      0.12       316       469         0
      0.26       317      1840         0
      0.32       318      1852         0
      0.24       319       638         0
      0.07       320       399         0
      0.04       321       398         0
      0.29       322       818         0
      0.28       323      3127         0
      0.28       324      1104         0
      0.23       325       472         0
      0.26       326       245         0
      0.28       327      1009         0
      0.25       328      1087         0
      0.04       329       387         0
      0.07       330       452         0
      0.30       331       646         0
      0.24       332      2119         0
      0.25       333       459         0
      0.27       334        22         0
      0.30       335      1388         0
      0.29       336      1409         0
      0.21       337       524         0
      0.09       338       638         0
      0.26       339      1493         0
      0.27       340      1587         0
      0.16       341       472         0
      0.34       342      2287         0
      0.33       343      1853         0
      0.24       344       839         0
      0.25       345       861         0
      0.25       346      1413         0
      0.28       347      1897         0
      0.25       348       881         0
      0.28       349       190         0
      0.19       350      1113         0
      0.32       351       666         0
      0.31       352      3264         0
      0.23       353      1285         0
      0.26       354       934         0
      0.25       355      1445         0
      0.25       356       123         0
      0.25       357       568         0
      0.20       358      3470         0
      0.33       359      1103         0
      0.21       360       925         0
      0.28       361      1587         0
      0.32       362      3346         0
      0.16       363       650         0
      0.25       364       575         0
      0.31       365        56         0
      0.25       366       980         0
      0.29       367      2830         0
      0.03       368       561         0
      0.26       369       317         0
      0.28       370      2815         0
      0.29       371      1563         0
      0.26       372       233         0
      0.22       373       829         0
      0.26       374      1743         0
      0.23       375      1979         0
      0.33       376        34         0
      0.20       377        93         0
      0.27       378      2429         0
