  distance  queryIdx  trainIdx | 
      0.24       943       116
      0.07       948       818
      0.05       950       783
      0.35       953       247
      0.18       956       835
      0.29       957       558
      0.06       961       844
      0.30       962       885
      0.11       963       873
      0.35       966        70
      0.22       968       435
      0.32       969       153
      0.05       970       893
      0.32       971       559
      0.24       975       402
      0.06       978       853
      0.32       981        90
      0.10       984       822
      0.29       987       119
      0.08       988       862
      0.12       991       787
      0.28       992       572
      0.28      1000       442
      0.25      1006       614
