  distance  queryIdx  trainIdx    imgIdx
      0.31       288        63         0
      0.26       289       180         0
      0.10       290       291         0
      0.28       291       884         0
      0.26       292       213         0
      0.04       293       276         0
      0.06       294       320         0
      0.18       295       223         0
      0.14       296       273         0
      0.08       297       330         0
      0.32       298        29         0
      0.32       299       743         0
      0.27       300       205         0
      0.35       301       854         0
      0.31       302       309         0
      0.27       303       366         0
      0.18       304       379         0
      0.34       305       743         0
      0.27       306       457         0
      0.30       307        45         0
      0.28       308       214         0
      0.22       309       612         0
      0.12       310       375         0
      0.32       311         9         0
      0.29       312       378         0
      0.34       313       353         0
      0.07       314       368         0
      0.23       315        39         0
      0.32       316       720         0
      0.16       317       316         0
      0.29       318       401         0
      0.29       319       679         0
      0.26       320       195         0
      0.28       321       638         0
      0.35       322       873         0
      0.03       323       348         0
      0.38       324        74         0
      0.29       325       430         0
      0.27       326       308         0
      0.25       327       370         0
      0.28       328       597         0
      0.36       329       341         0
      0.28       330        68         0
      0.32       331       134         0
      0.21       332       112         0
      0.06       333       346         0
      0.26       334       257         0
      0.26       335       341         0
      0.31       336       140         0
      0.09       337       338         0
      0.35       338       130         0
      0.29       339       143         0
      0.09       340       314         0
      0.26       341       101         0
      0.29       342       171         0
      0.28       343       884         0
      0.34       344       645         0
      0.35       345       521         0
      0.07       346       377         0
      0.33       347       435         0
      0.25       348       433         0
      0.06       349       284         0
      0.28       350       649         0
      0.30       351       457         0
      0.30       352       682         0
      0.28       353       169         0
      0.27       354       704         0
      0.30       355       522         0
      0.25       356       738         0
      0.24       357       446         0
      0.29       358       748         0
      0.30       359       158         0
      0.07       360       382         0
      0.22       361       661         0
      0.25       362       735         0
      0.29       363       208         0
      0.32       364       743         0
      0.30       365        65         0
      0.27       366       333         0
      0.33       367       397         0
      0.30       368       884         0
      0.25       369       895         0
      0.10       370       352         0
      0.36       371       857         0
      0.32       372       750         0
      0.34       373       503         0
      0.32       374       550         0
      0.28       375       174         0
      0.32       376       574         0
      0.28       377       207         0
      0.24       378       656         0
      0.26       379       875         0
      0.36       380        86         0
      0.34       381       609         0
      0.12       382       400         0
      0.05       383       350         0
      0.37       384       776         0
      0.15       385       349         0
      0.15       386       418         0
      0.18       387       491         0
      0.25       388       465         0
      0.08       389       396         0
      0.25       390       893         0
      0.28       391       248         0
      0.08       392       428         0
      0.06       393       361         0
      0.12       394       416         0
      0.37       395       886         0
      0.28       396       634         0
      0.31       397       879         0
      0.36       398       809         0
      0.30       399       880         0
      0.03       400       399         0
      0.38       401       794         0
      0.05       402       389         0
      0.36       403       389         0
      0.35       404       163         0
      0.14       405       403         0
      0.29       406       367         0
      0.32       407       816         0
      0.08       408       360         0
      0.31       409       123         0
      0.39       410         0         0
      0.34       411       663         0
      0.33       412        44         0
      0.30       413       534         0
      0.23       414       471         0
      0.30       415       287         0
      0.29       416        66         0
      0.35       417        67         0
      0.31       418       618         0
      0.30       419       302         0
      0.27       420       663         0
      0.30       421       451         0
      0.33       422       811         0
      0.20       423       193         0
      0.28       424       583         0
      0.33       425       455         0
      0.27       426       379         0
      0.28       427       317         0
      0.35       428        96         0
      0.18       429       193         0
      0.20       430       411         0
      0.34       431       129         0
      0.27       432       600         0
      0.08       433       458         0
      0.25       434       747         0
      0.29       435       537         0
      0.10       436       393         0
      0.32       437       593         0
      0.10       438       335         0
      0.33       439       896         0
      0.10       440       501         0
      0.07       441       413         0
      0.29       442       656         0
      0.26       443       200         0
      0.07       444       440         0
      0.24       445       840         0
      0.30       446       377         0
      0.39       447       625         0
      0.27       448       436         0
      0.36       449       654         0
      0.39       450       552         0
      0.06       451       332         0
      0.26       452       495         0
      0.32       453        54         0
      0.37       454       891         0
      0.32       455       274         0
      0.27       456       281         0
      0.28       457       844         0
      0.14       458       549         0
      0.34       459        92         0
      0.28       460        67         0
      0.31       461       768         0
      0.36       462       648         0
      0.06       463       464         0
      0.23       464       491         0
      0.31       465        11         0
      0.32       466       394         0
      0.28       467       655         0
      0.44       468       609         0
      0.33       469        64         0
      0.06       470       476         0
      0.38       471       678         0
      0.05       472       465         0
      0.29       473        65         0
      0.10       474       617         0
      0.30       475       598         0
      0.31       476        37         0
      0.35       477       481         0
      0.30       478       354         0
      0.09       479       487         0
      0.28       480       281         0
      0.40       481       725         0
      0.31       482        60         0
      0.33       483       782         0
      0.05       484       394         0
      0.30       485       221         0
      0.27       486       277         0
      0.30       487        63         0
      0.28       488       140         0
      0.19       489       443         0
      0.32       490       469         0
      0.31       491       276         0
      0.31       492       719         0
      0.26       493       158         0
      0.28       494       162         0
      0.42       495       642         0
      0.04       496       493         0
      0.20       497       530         0
      0.03       498       495         0
      0.42       499       745         0
      0.37       500        65         0
      0.20       501       454         0
      0.42       502       768         0
      0.12       503       505         0
      0.33       504       816         0
      0.30       505       402         0
      0.11       506       473         0
      0.34       507       185         0
      0.37       508       818         0
      0.31       509       413         0
      0.27       510       350         0
      0.27       511       474         0
      0.35       512       323         0
      0.28       513       621         0
      0.05       514       445         0
      0.31       515       755         0
      0.35       516       608         0
      0.23       517       568         0
      0.09       518       508         0
      0.04       519       456         0
      0.20       520       399         0
      0.33       521       339         0
      0.12       522       575         0
      0.31       523       401         0
      0.22       524       350         0
      0.29       525       798         0
      0.17       526       785         0
      0.05       527       643         0
      0.05       528       491         0
      0.27       529       704         0
      0.11       530       549         0
      0.12       531       575         0
      0.33       532        81         0
      0.11       533       539         0
      0.22       534       568         0
      0.28       535       879         0
      0.17       536       505         0
      0.05       537       496         0
      0.27       538       524         0
      0.27       539       279         0
      0.33       540       888         0
      0.38       541       520         0
      0.16       542       419         0
      0.28       543       622         0
      0.19       544       275         0
      0.05       545       537         0
      0.34       546       735         0
      0.34       547       815         0
      0.23       548       352         0
      0.17       549       491         0
      0.11       550       431         0
      0.09       551       604         0
      0.37       552       781         0
      0.29       553       504         0
